target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
"Ridgway Area School District, Elk County";Education;Pennsylvania;"Unknown, Ransomware";8/10/2019;"Brad Fordera August 10th, 2019 The district suffered a virus attack but no data had been compromised Files were encrypted as the virus spread on the servers, no confidential data was accessed Extra help was requested to ensure the school year starts as normal Read More";http://www.bradfordera.com/news/crime/ridgway-district-attacked-by-electronic-virus/article_aa0e67fc-29f0-5df7-8583-be0df913c1e3.html;https://rasd.us/;Y;Sectigo RSA Domain Validation Secure Server CA;sha256;high;8;2019
"Wallenpaupack Area School District, Pike & Wayne Counties";Education;Pennsylvania;"Unknown, Ransomware";9/19/2019;"Neagle September 19th, 2019 School district attacked second time this year, led to shutdown of 3,000 computers Officials with the school confirmed they had been hit with ransomware Superintendent advised that no personal information had been leaked in the attack Read More";https://www.neagle.com/news/20190913/school-district-computers-paralyzed-in-attack;http://www.wallenpaupack.org/;N;NA;sha256;low;9;2019
"Wyoming Area School District, Luzerne County";Education;Pennsylvania;"Unknown, Ransomware";10/1/2019;"The Citizen’s Voice October 1st, 2019 School district forced to pay $38,000 ransom to bad actors Officials believed the attack originated in Iran or India Payment likely encouraged other bad actors Read More";https://www.citizensvoice.com/news/wyoming-area-paid-38-000-to-end-ransomware-attack-1.2539738;http://www.wyomingarea.org/;N;NA;sha256;low;10;2019
"East Greenwich High School, Kent County";Education;Rhode Island;"Unknown, DDoS";3/14/2021;"East Greenwich NewsMarch 14th, 2021Students were attending an Q&A with actor LeLand Gantt when the YouTube stream was filled with racist and sexist commentsDuring the presentation the High School was hit by a DDoS attackThis is not the first attack to take place within the school and both incidents are being investigatedRead More";https://eastgreenwichnews.com/racist-comments-mar-presentation-at-eghs;https://www.egsd.net/schools/east-greenwich-high-school;Y;GTS CA 1D4;sha256;med;3;2021
"Newport Public Schools, Newport County";Education;Rhode Island;"Unknown, Malware";8/6/2019;"Whatsupnewp August 6th, 2019 Newport Public Schools victim of malware attack, internal network affectedAttack was isolated to school system network, city of Newport unaffectedIT department placed additional security measures, updated hardwareRead More";https://whatsupnewp.com/2019/08/city-addressing-potential-malware-on-school-department-network;https://www.npsri.net/;Y;Amazon;sha256;med;8;2019
"Brown University, Providence County";Education;Rhode Island;"Unknown, Malware";4/2/2021;"Bleeping ComputerApril 2nd, 2021Brown University suffered a cyber attack that focused on devices that were running WindowsIT staff disabled systems as a protective measureThe school site and school library site are functional again, and an investigation is ongoingRead More";https://www.bleepingcomputer.com/news/security/brown-university-hit-by-cyberattack-some-systems-still-offline/;https://www.brown.edu/;Y;Cloudflare Inc ECC CA-3;sha256;high;4;2021
"Coventry School District, Kent County";Education;Rhode Island;"Unknown, Ransomware";1/26/2020;"SyracuseJanuary 26th, 2020Officials force to pay nearly $200,000 to bad actorsRansomware was used in cyberattack against schoolDistrict took measures to mitigate future damageRead More";https://www.syracuse.com/schools/2020/06/jamesville-dewitt-high-school-student-email-list-breached-explicit-messages-sent.html;https://www.coventryschools.net/;Y;R3;sha256;med;1;2020
"Greenville Technical College, Greenville County";Education;South Carolina;"Hacking, Ransomware";8/28/2020;"MSNAugust 28th, 2020The college was able to fight attack made by bad actors without paying ransomThree servers were breached due to a weakness in the college's private networkAll encrypted data was simply deleted and restored to backupsRead More";"https://www.msn.com/en-us/money/other/greenville-tech-thwarts-data-breach-from-hackers-who-sought-ransom-spokesperson-says/ar-BB18u0eA,";https://www.gvltec.edu/;Y;Go Daddy Secure Certificate Authority - G2;sha256;high;8;2020
Lexington School District;Education;South Carolina;Phishing;1/30/2017;"WLTXJanuary 30th, 2017Lexington School District falls victim to spear-phishing schemeEmployee sent 2016 W-2 information to hackerDistrict offered free credit monitoring for 12 months to those potentially affectedRead More";https://www.wltx.com/article/news/local/1300-employees-affected-by-data-breach/394664167;https://www.lexington1.net/;Y;Amazon;sha256;high;1;2017
"Coastal Carolina University, Horry County";Education;South Carolina;Phishing;3/22/2017;"WBTW News 13March 22nd, 2017Coastal Carolina University falls victim to spear-phishing schemeHackers posed as University vendorsOver $1M payments made to hackersRead More";http://www.wbtw.com/news/coastal-carolina-university-scammed-out-of-more-than-1m/868578798;https://www.coastal.edu/;Y;DigiCert SHA2 Secure Server CA;sha256;high;3;2017
"Greenwood School District 51, Laurens County";Education;South Carolina;"Phishing, Other";1/29/2019;"Index Journal January 29th, 2019 An investigation uncovered a hack within one of the computers$1,200 was recovered after pending investigationsNo student data was at risk and all passwords were changedRead More";http://www.indexjournal.com/news/breaking/hacker-breaks-into-district-computer/article_364ac8e8-6535-54f0-9b2f-74b5270dc613.html;https://www.greenwood52.org/en-US;Y;R3;sha256;med;1;2019
Horry County Schools;Education;South Carolina;Ransomware;2/10/2016;"WMBF NewsFebruary 10th, 2016Ransomware infected Horry County Schools' systemMore than 100 servers shut down to prevent spread of malwareHackers demanded between $7,000-$8,000 ransomSchool district has refused to pay, claimed no personal information had been compromisedRead More";http://www.wmbfnews.com/story/31191533/horry-county-schools-struck-by-ransomware-virus;https://www.horrycountyschools.net/;Y;Amazon;sha256;med;2;2016
Dorchester District;Education;South Carolina;Ransomware;8/30/2017;"Post & CourierAugust 30th, 2017Ransomware attack affected 25 of 65 District serversDistrict paid $2,900 to retrieve data from hackers24 of 25 servers fully restoredNo student or staff data compromisedRead More";https://www.postandcourier.com/news/report-dorchester-district-suffers-summer-ransomware-attack-no-student-or/article_c9bd9e3a-8ddd-11e7-b3e9-f36127b6e7f4.html;https://www.ddtwo.org/;Y;Amazon;sha256;med;8;2017
Chester County School District;Education;South Carolina;Ransomware;1/29/2018;"WCNCJanuary 29th, 2018Ransomware attack infected Chester County School District network through malicious email linkNo personal data compromisedHired a specialist on site to assist districtRead More";https://www.wcnc.com/article/news/crime/crimestoppers/sc-school-district-latest-victim-to-ransomware/275-512723105;https://www.chester.k12.sc.us/;Y;Amazon;sha256;high;1;2018
"Pickens County School District, Pickens County";Education;South Carolina;"Unknown, DDoS";9/8/2020;"WYFF4September 8th, 2020A large scale DDOS was able to impact many students devices and sparked many outagesThe origin of the attack is still unknown and may not have directly targeted the district but still affected the districts operationsPortals and lessons were rendered offline for 2 hours and soon resumed the following dayRead More";"https://www.wyff4.com/article/pickens-county-school-district-internet-outage-caused-by-cyberattack-district-says/33955313,";https://www.pickens.k12.sc.us/;Y;R3;sha256;high;9;2020
"Spartanburg County School District One, Spartanburg County";Education;South Carolina;"Unknown, Ransomware";3/2/2020;"WYFF4March 2nd, 2020Ransomware used in cyberattack against school systemDistrict had difficulty with network following attackOfficials confirmed that attack was ransomwareRead More";"https://www.wyff4.com/article/computer-network-issues-at-spartanburg-county-school-district-one-due-to-ransomware/31192098#,";https://www.spart1.org/;Y;Cloudflare Inc ECC CA-3;sha256;high;3;2020
Vanderbilt University;Education;Tennessee;Hack;1/17/2017;"TennesseanJanuary 17th, 2017Hackers target printers, inexplicable anti-Semitic flyers being printedUniversity notified federal authoritiesSimilar printing hacks hit several universities across the countyRead More";https://www.tennessean.com/story/news/education/2017/01/17/vanderbilt-printers-churned-out-anti-semitic-fliers-after-suspected-hack/96677604/;https://www.vanderbilt.edu/;Y;Amazon;sha256;high;1;2017
TN Ready Online testing & Questar;Education;Tennessee;Hack;4/17/2018;"Times Free PressApril 17th, 2018Statewide testing experiences deliberate cyber attackState postponed testing for studentsState vendor Questar blocked source of unusual traffic patterns to prevent attack reoccurrenceRead More";http://www.timesfreepress.com/news/breakingnews/story/2018/apr/17/tennessee-education-commissioner-tnready-online-test-may-have-experienced-deliberate-attack/468512/;NA;NA;NA;sha256;;4;2018
"Southern College of Optometry, Shelby Co.";Education;Tennessee;"Phishing, Data Breach";7/20/2018;"Office of the Vermont Attorney GeneralJuly 20th, 2018Employee email account affected in phishing scheme Private information and Social Security numbers of students stored on email account Southern College of Optometry providing one year of credit monitoring Read More";http://ago.vermont.gov/blog/2018/07/25/southern-college-of-optometry-security-breach-notice-to-consumers;https://tec.sco.edu/;Y;R3;sha256;high;7;2018
"East Tennessee State University, Washington County";Education;Tennessee;"Phishing, Data Breach";11/19/2018;"WJHLNovember 19th, 2018Two employees clicked on malicious links sent via phishing schemeCyber attack believed to be a targeted eventPrivate data at risk affecting 7,700 peopleRead More";https://www.wjhl.com/local/etsu-employees-potentially-affected-by-data-breach-connected-to-phishing-scam/1606803834;https://www.etsu.edu/coe/access/community-support.php;Y;Sectigo RSA Organization Validation Secure Server CA ;sha256;med;11;2018
"Pellissippi State Community College, Knox County";Education;Tennessee;"Phishing, Data Breach";2/4/2019;"Knox News February 4th, 2019 More than 200 students, former and current, had personal information exposedInvestigation showed that 1,800 emails were accessed and 222 of them contained personal informationThis is believed to be an isolated incident and the data may not have been dispersedRead More";https://www.knoxnews.com/story/news/education/2019/02/04/pellissippi-state-hack-student-data-breach-email/2766450002;https://pstcc.edu/;Y;R3;sha256;high;2;2019
"Pellissippi State Community College, Knox County";Education;Tennessee;"Phishing, Data Breach";2/5/2019;"Daily Times February 5th, 2019 Over 200 students could be in danger of identity theft after exposureStudents were contacted accordingly and informed of riskInvestigations showed 1,800 emails were exposed and over 200 contained sensitive informationRead More";https://www.thedailytimes.com/news/pellissippi-state-community-college-reveals-data-breach/article_e056f291-c168-5b45-a494-885b96e3b5f6.html;https://pstcc.edu/;Y;R3;sha256;high;2;2019
"Columbia State Community College, Maury County";Education;Tennessee;"Phishing, Malware";2/26/2019;"Columbia Daily February 26th, 2019 A virus forced the closure of the community college campus for two daysAfter an infected email was opened, the virus spread to the communications departmentThe virus has continually adapted and is becoming difficult to eradicate from the systemsRead More";https://www.columbiadailyherald.com/news/20190226/computer-virus-forces-columbia-state-to-close;https://www.columbiastate.edu/;Y;Go Daddy Secure Certificate Authority - G2;sha256;high;2;2019
"Jefferson County Schools, Jefferson Co.";Education;Tennessee;"Phishing, Other";7/25/2018;"Citizen TribuneJuly 25th, 2018Cyber attack targets Jefferson County Schools Infected email system through phishing scheme Hackers infiltrated system and sent mass, spam emails to school contacts Read More";https://www.citizentribune.com/news/local/jefferson-schools-email-targeted-in-cyber-attack/article_19276f6a-902a-11e8-89a2-3bc7c6e36006.html;https://www.jeffcopublicschools.org/;Y;SSL.com RSA SSL subCA;sha256;high;7;2018
Maury County Public Schools District;Education;Tennessee;Ransomware;1/5/2018;"Columbia Daily HeraldJanuary 5th, 2018School districts computer locked down & files encrypted by hackersNo data believed to be accessed or stolenDistrict working to restore systems & recover backupsCyber insurance may reimburse district for work costRead More";http://www.columbiadailyherald.com/news/20180105/mcps-experiences-cyber-attack;https://www.mauryk12.org/;Y;SSL.com RSA SSL subCA;sha256;med;1;2018
"Tennessee Wesleyan University, McMinn County";Education;Tennessee;"Unknown, Ransomware";1/25/2021;"Daily Post AthenianJanuary 25th, 2021University was latest victim of ransomware cyberattackNetwork was shut down to help mitigate damageOfficials believed that only devices connected to network were affectedRead More";"https://www.dailypostathenian.com/news/article_8eabb310-4295-5949-9634-f5f85819352e.html,";https://www.tnwesleyan.edu/;Y;Go Daddy Secure Certificate Authority - G2;sha256;high;1;2021
Victoria Independent School District;Education;Texas;Hack;4/18/2018;"DataBreachesApril 18th, 2018Victoria Independent School District employee email accounts hackedEmail accounts stored private employee dataDistrict resetting email account credentials & implementing two factor authentication as precautionRead More";https://www.databreaches.net/tx-victoria-isd-notifies-employees-of-breach-involving-their-personal-information/;https://www.visd.net/;Y;R3;sha256;med;4;2018
"Weslaco Independent School District, Hidalgo County";Education;Texas;"Hacking, Ransomware";12/14/2020;"Valley CentralDecember 14th, 2020School district was victim of ransomware cyberattackFederal law enforcement assisted investigationClasses were disrupted, officials remained unsure of extent of damageRead More";https://www.valleycentral.com/news/local-news/weslaco-isd-network-hacked-fbi-investigating/;https://www.wisd.us/;Y;Cloudflare Inc ECC CA-3;sha256;med;12;2020
Corsicana Independent School District;Education;Texas;Phishing;2/1/2016;"Corsicana Daily SunFebruary 1st, 2016Corsicana Independent School District fell victim to spear-phishing schemeEmployee sent all 2016 W-2 forms to hackerIRS & state taxing agencies notified TX school district of phishing scamCorsicana notified local authorities and FBIRead More";http://www.corsicanadailysun.com/news/corsicana-isd-responds-to-data-breach-incident/article_deee240a-ee69-11e6-b5d7-db92c96a6034.html;https://www.cisd.org/;Y;R3;sha256;med;2;2016
Argyle Independent School District;Education;Texas;Phishing;1/16/2017;"NBCDFWJanuary 16th, 2017Argyle Independent School Distract fell victim to spear-phishing schemeHacker posed as district Superintendent2016 W-2 forms sent by employeeThe district deeply regrets incident & will notify potentially affected individualsRead More";https://www.nbcdfw.com/news/local/Argyle-ISD-Employees-Hit-with-Data-Breach-411337825.html;https://www.argyleisd.com/;Y;Amazon;sha256;high;1;2017
Belton Independent School District;Education;Texas;Phishing;1/27/2017;"kcenTVJanuary 27th, 2017Belton Independent School District fell victim to spear-phishing schemeEmployee W-2 information exposed, sent to hackersDistrict offered free credit monitoring through ExperianOver 1,700 potentially affected District employeesRead More";"http://www.kcentv.com/news/local/belton-independent-school-district-offering-free-credit-monitoring-after-w-2-breach/396122703?1486143298806,";https://www.bisd.net/;Y;Amazon;sha256;med;1;2017
Mercedes Independent School District;Education;Texas;Phishing;1/30/2017;"The MonitorJanuary 30th, 2017W-2 information of employees sent in phishing scamDistrict instructed potentially affected to take steps in safeguarding data950 employees affected in schemeRead More";http://www.themonitor.com/opinion/editorials/editorial-mercedes-isd-personal-data-breach-baffling-inexcusable/article_7bae625e-e74f-11e6-add5-2b93295ee7f3.html;https://www.misdtx.net/;Y;R3;sha256;med;1;2017
Abernathy Independent School District;Education;Texas;Phishing;2/24/2017;"Everything LubbockFebruary 24th, 2017Abernathy Independent School District falls victim to spear-phishing schemeEmployee responded to phishing email, sent W-2 information of district employees to hackersDistrict immediately reported to the IRS, FBI, and State Taxing AuthoritiesRead More";http://www.everythinglubbock.com/news/kamc-news/teacher-info-leaked-in-security-breach-at-abernathy-isd/660855068;https://www.abernathyisd.com/;Y;R3;sha256;med;2;2017
Tyler Independent School District;Education;Texas;Phishing;3/1/2017;"KLTVMarch 1st, 2017Employee fell victim to phishing scam involving employee W-2 informationDistrict sent letters to its employees, notifying them of the breachSchool providing free credit monitoring and restoration servicesRead More";http://www.kltv.com/story/34658970/sources-tyler-isd-employee-w-2-forms-sent-to-phishing-e-mail;https://www.tylerisd.org/;Y;R3;sha256;med;3;2017
Ben Bolt Independent School District;Education;Texas;Phishing;3/28/2017;"KIII TVMarch 28th, 2017Ben Bolt Independent School District targeted in spear-phishing schemeHackers posed as district superintendentEmployee emailed W-2 information to hackerDistrict immediately notified potentially affected individualsSheriff's department offered further assistence to district employeesRead More";https://www.kiiitv.com/article/news/local/ben-bolt-isd-employees-victim-of-irs-phishing-scam/426296431;https://www.bbpbschools.net/;Y;R3;sha256;med;3;2017
Rockdale Independent School District;Education;Texas;Phishing;3/2/2018;"KVUEMarch 2nd, 2018Rockdale Independent School District falls victim to phishing schemeSeveral employees' taxes falsely filed by hackersEmployee forwarded valuable tax information to false superintendentRead More";https://www.kvue.com/article/news/local/rockdale-isd-employees-tax-information-compromised-in-data-breach/269-524456613;https://www.rockdaleisd.net/;Y;SSL.com RSA SSL subCA;sha256;high;3;2018
"Dallas County Community College, Dallas County";Education;Texas;"Phishing, Data Breach";8/17/2018;"NH Office of Attorney GeneralAugust 17th, 2018Hackers accessed employee email accountInvestigation launched & account securedPrivate information of Dallas County Community members potentially exposedRead More";"https://www.doj.nh.gov/consumer/security-breaches/documents/dallas-county-community-college-20180821.pdf,";https://www.dallascollege.edu/pages/default.aspx;Y;DigiCert SHA2 Extended Validation Server CA;sha256;med;8;2018
"Henderson Independent School District, Rusk County";Education;Texas;"Phishing, Other";10/12/2018;"Tyler PaperOctober 12th, 2018Cyber criminals steal over $600,000 from Henderson ISDThe district fell victim to a sophisticated phishing scamFunds mistakenly transferred to a fraudulent accountRead More";https://tylerpaper.com/news/local/henderson-isd-falls-victim-to-fraud-scheme/article_78563c14-ce5f-11e8-a9e4-1b3611a387ce.html;https://www.hendersonisd.org/;Y;R3;sha256;med;10;2018
"San Benito Consolidated Independent School District, Cameron County";Education;Texas;"Phishing, Other";3/29/2019;"Valley Morning Star March 29th, 2019 Several departments prevented fraudulent transfers after irregularities were noticedA school employee was directed to a fraudulent website that acted as the official banking websiteTo prevent this in the future employees will be trained and several protocols will be put in placeRead More";"https://www.valleymorningstar.com/news/local_news/school-district-cyber-hack-thwarted/article_1c7cbad6-5239-11e9-a87f-1f5484f7c679.html,";https://www.sbcisd.net/;Y;R3;sha256;med;3;2019
"San Felipe Del Rio CISD, Val Verde County";Education;Texas;"Phishing, Other";2/25/2020;"Data BreachesFebruary 25th, 2020Bad actors used phishing scheme in cyberattackFunds were mistakenly transferred to fraudulent accountLaw enforcement assisted with investigationRead More";https://www.databreaches.net/tx-school-district-falls-victim-to-business-email-compromise-scam;https://www.sfdr-cisd.org/;Y;Amazon;sha256;high;2;2020
"Manor Independent School District, Travis County";Education;Texas;"Phishing, Other: Funds Stolen";1/12/2020;"NY Daily NewsJanuary 12th, 2020Phishing cyberattack used to steal over $2 millionFederal and local law enforcement sought public's helpSchool system consisted of over 9,600 studentsRead More";https://www.nydailynews.com/news/national/ny-school-district-23-million-phishing-scam-20200112-jf6gkgnbbnfcle53uzvt357noq-story.html;https://www.manorisd.net/;Y;Amazon;sha256;high;1;2020
Northeast Independent School District;Education;Texas;Ransomware;4/7/2016;"Data BreachesApril 7th, 2016Northeast Independent School district fell victim to ransomware attackDistrict did not pay ransomNo sensitive information compromised during attackThree separate ransomware attacks took place in span of 3 monthsLittle data lost – thanks to backupsRead More";https://www.databreaches.net/tx-ransomware-attacks-20-northeast-isd-schools/;https://www.neisd.net/;Y;Amazon;sha256;high;4;2016
"Crosby Independent School District, Harris County";Education;Texas;Ransomware;2/4/2019;"CHRON February 4th, 2019 Parents and staff were notified of ransomware within district’s IT systemsSchools were left with no access to technology until attack was resolvedVisitors were no longer allowed into schools due to downed screening proceduresRead More";https://www.chron.com/neighborhood/lakehouston/schools/article/Crosby-ISD-s-IT-system-hacked-by-ransomware-13588337.php;https://www.crosbyisd.org/;Y;R3;sha256;med;2;2019
"Fort Worth ISD, Tarrant County";Education;Texas;"Unknown, Malware";3/4/2020;"CBS LocalMarch 4th, 2020School district hit in malware cyberattackOfficials believed IT personnel protected private informationFederal and local law enforcement were notified of the attackRead More";https://dfw.cbslocal.com/2020/03/04/fort-worth-isd-may-remain-offline-through-spring-break-after-malware-attack;https://www.fwisd.org/;Y;Amazon;sha256;high;3;2020
"Skidmore-Tynan Independent School District, Bee County";Education;Texas;"Unknown, Malware";9/17/2020;"KristvSeptember 17th, 2020Administrators report that they have reached out to the FBI in response to cyber attackAll windows devices have to be investigated following attackCybersecurity has been aiding process and has taken preventative measuresRead More";"https://www.kristv.com/news/local-news/school-district-reaches-out-to-fbi-following-cyberattack,";https://www.stbobcats.net/;Y;R3;sha256;low;9;2020
"Socorro Independent School District, El Paso County";Education;Texas;"Unknown, Malware";12/11/2020;"KVIADecember 11th, 2020The Socorro School District was victim of cyber attackIn a public release a spokesman stated that the IT department was prompted to take down network as a precautionThere is no sign that data was compromised however a data breach remains an ongoing concernRead More";https://kvia.com/news/education/2020/12/11/sisds-internal-computer-network-taken-down-due-to-virus;https://www.sisd.net/;Y;Amazon;sha256;high;12;2020
"Sul Ross University Rio Grande College, Uvalde County";Education;Texas;"Unknown, Ransomware";6/24/2019;"In4Mate June 24th, 2019 According to released information the college was hit with an attack on June 24thNo private information was compromised following the attack, the situation was still being assessedAll systems and services were rendered inoperable until further notice meaning no online networkingRead More";https://in4mate.org/2019/06/24/sul-ross-university-rio-grande-college-attacked-by-ransomware/;https://www.sulross.edu/catalog/rio-grande-college/;Y;DigiCert TLS RSA sha256 2020 CA;sha256;high;6;2019
"Athens Independent School District, Henderson County";Education;Texas;"Unknown, Ransomware";8/1/2019;"WFAAAugust 1st, 2019Following ransomware cyberattack, school district was forced to delay school startSchool board voted to pay $50,000 ransom to bad actorsOfficials believed personal information remained intactRead More";https://www.wfaa.com/article/news/local/athens-isd-computers-hacked-50k-cryptocurrency-ransom/287-d2fd74b5-7734-4dd5-86b4-59960b959a21;https://www.athensisd.net/;Y;SSL.com RSA SSL subCA;sha256;med;8;2019
"Port Neches-Groves Independent School District, Jefferson County";Education;Texas;"Unknown, Ransomware";11/12/2019;"The Port Neches News November 12th, 2019 School district network taken out in ransomware cyberattack Officials stated that all files had been encrypted and held for ransom No personal information was affected in the attack Read More";https://www.panews.com/2019/11/12/pngisd-technology-held-for-ransom-forensic-cyber-security-specialists-involved;https://www.pngisd.org/;Y;Amazon;sha256;med;11;2019
"Sheldon Independent School District, Harris County";Education;Texas;"Unknown, Ransomware";8/1/2020;"Data BreachesAugust 1st, 2020The district was attacked by Pysa ransomware, a variant of Mespinoza ransomwareRansom demanded was over $350,000 and was not fully covered under cyber insurance policyInformation exposed generally consisted of demographic statistics and did not contain social security informationRead More";https://www.databreaches.net/tx-sheldon-isd-notifies-current-and-former-staff-and-students-of-network-breach/;https://www.sheldonisd.com/;Y;R3;sha256;med;8;2020
"Somerset ISD, Bexar County";Education;Texas;"Unknown, Ransomware";2/9/2021;"Data BreachesFebruary 9th, 2021The school district was reportedly attacked by Avaddon threat actorsThere have been no public statements released about the attack regarding the information posted onlineBad Actors dumped an archive with 1,520 files in 27 folders uncompressed the data equaled about 3 GB of dataRead More";https://www.databreaches.net/update-threat-actors-dump-somerset-isd-student-personal-and-health-information/;https://sisdk12.edlioschool.com/;Y;Go Daddy Secure Certificate Authority - G2;sha256;med;2;2021
"Over 26,000 Impacted by Ransomware at Texas School District";Education;Texas;"Unknown, Ransomware";6/25/2021;"Government TechnologyJune 25th, 2021Judson Independent School District's computer and communication systems remained paralyzed Thursday as staffers scramble to understand the extent of a ransomware attack detected a week earlier.District officials weren't disclosing what information the cyberattack compromised but acknowledged that Judson computers, telephones and e-mail services were still down.Judson is working with local, state and federal authorities.Read More";https://www.govtech.com/over-26-000-impacted-by-ransomware-at-texas-school-district/;https://www.judsonisd.org/;Y;R3;sha256;med;6;2021
"Dallas Independent School District,  Dallas County";Education;Texas;"Unknown,"" Data Breach";9/3/2021;"DataBreaches.netSeptember 3rd"","" 2021""""""""The Dallas Independent School District recently received notice of a data security incident involving the district’s electronic records that may affect former and current students"", alumni, parents,"" and district employees.""""""""""""""""At this time"","" it appears the affected information has been contained and that none of it has been shared or sold.""""""""""""""""The incident reportedly potentially affects anyone who was a student"", contractor, or employee between 2010 and the present. The data types involved were described as:or some current and former employees/contractors: first and last name, address, phone number, social security number, date of birth, dates of employment, salary information, and reason for ending employment. For some current and former students: first and last name, social security number, date of birth, parent/guardian contact information, and grades. For a subset of students,"" custody status and/or medical condition was also exposed.""""""""""""""""This incident has not appeared on any of the leak sites maintained by dozens of threat actors"", forums,"" or markets…""""""""Read More""""";"https://www.databreaches.net/dallas-independent-school-district-reveals-breach/""";https://www.dallasisd.org/;Y;Amazon ;sha256;med;9;2021
"University of Utah's College of Social and Behavioral Sciences, Salt Lake County";Education;Utah;"Unknown, Ransomware";8/20/2020;"Bleeping ComputerAugust 20th, 2020Bad actors used ransomware during complex cyberattackComputer servers for entire college department were encrypted and lockedUniversity insurance policy paid a ransom of $457,059.24Read More";https://www.bleepingcomputer.com/news/security/university-of-utah-hit-by-ransomware-pays-457k-ransom/;https://csbs.utah.edu/;Y;InCommon RSA Server CA;sha256;med;8;2020
"The University of Vermont, Chittenden Co.";Education;Vermont;Hack;5/26/2018;"The Vermont CynicMay 26th, 2018System intrusion at the University of Vermont had Information Security Office on high alertUniversity accounts & credentials potentially compromisedAll students and staff required to change account credentialsRead More";https://vtcynic.com/news/uvm-hit-by-cyber-attack/;https://www.uvm.edu/;Y;InCommon RSA Server CA;sha256;high;5;2018
"Pownal School District, Bennington Co.";Education;Vermont;"Hacking, Other";7/16/2018;"Burlington Free PressJuly 16th, 2018Hackers infiltrated Pownal District's supervisory union computer network School lost $50,000 during fraudulent transfer of funds Safeguards on account alerted Pownal staff members of the hackRead More";https://www.burlingtonfreepress.com/story/news/local/vermont/2018/07/16/vermont-schools-lag-cybersecurity-while-risk-hits-pownal-fraud/774632002/;https://pownal.svsu.org/;Y;R3;sha256;med;7;2018
Gloucester County Public Schools' Website;Education;Virginia;Hack;11/6/2017;"Daily PressNovember 6th, 2017Gloucester County Public Schools' website hackedHackers injected Pro-ISIS propaganda through messages, videos, and imagesThe website was one of 800 school websites targeted in a nationwide attackRead More";"http://www.dailypress.com/news/gloucester-county/dp-nws-gloucester-county-school-website-hacked-isis-20171106-story.html,";https://gets.gc.k12.va.us/;Y;R3;sha256;med;11;2017
Greensville County Public Schools;Education;Virginia;"Hacking,"" Ransomware";9/24/2021;"DataBreaches.netSeptember 24th"","" 2021""""""""Greensville County Public Schools in Emporia"", Virginia was added to Grief’s dark web leak site on September 21. But by September 15,"" the district had already disclosed that they were dealing with a cyberware attack.""""""""""""""""The thousands of files that Grief dumped related to special educational evaluations"", plans, and processes for students in the district’s schools. The files were date-stamped from 2017 and 2018. The student records contained differing information on each student, but generally included the student’s name, address, phone number, parent or guardian’s name,"" and then information on the child which might include a medical or social history"""""""" """"""""DataBreaches.net did not see any employee personal information in the data that have been dumped so far"",""”Read More""""";"https://www.databreaches.net/va-greensville-county-public-schools-hit-by-grief-threat-actors/""";https://www.gcps1.com/;Y;Amazon;sha256;med;9;2021
Powhatan County Public Schools;Education;Virginia;Phishing;3/20/2017;"WTVRMarch 20th, 2017Powhatan County Public Schools fell victim to spear-phishing schemeEmployee sent W-2 forms to hackers905 employees potentially affected by breachRead More";http://wtvr.com/2017/03/20/hundreds-of-powhatan-school-employees-compromised-in-data-breach/;http://www.powhatan.k12.va.us/;N;NA;sha256;low;3;2017
"Fredericksburg City Public Schools, Spotsylvania County";Education;Virginia;Phishing;5/8/2018;"FredericksburgMay 8th, 2018Hackers used phishing scheme to infiltrate school's electronic mail and file systemHackers accessed 14 school employees' emails and one employee's filesPrivate information of parents & students potentially exposedInfected emails continually spread throughout Fredericksburg employees for 3 daysRead More";http://www.fredericksburg.com/news/local/fredericksburg/hackers-break-into-fredericksburg-school-system-s-emails-file-system/article_d2b4e537-83ae-5160-8d6c-bbccf705e75a.html;https://www.spotsylvania.k12.va.us/;Y;Amazon;sha256;med;5;2018
"Chesapeake Public School District, Chesapeake City County";Education;Virginia;"Phishing, Malware";11/8/2018;"WTKRNovember 8th, 2018Malware attack responsible for taking Virginia schools off the grid Virus entered network through phishing emails sent to employees Several divisions affected, including Grassfield High School who was impacted the most from the virus Read More";https://wtkr.com/2018/11/08/chesapeake-public-schools-computer-network-affected-by-malware-from-phishing-emails/;https://cpschools.com/;Y;DigiCert SHA2 High Assurance Server CA;sha256;high;11;2018
"Smyth County Schools, Smyth County";Education;Virginia;"Unknown, Ransomware";10/4/2019;"The Roanoke TimesOctober 4th, 2019Smyth County, Virginia school district was victim of ransomware cyberattackFBI and security consultants investigated cyberattack and checked for breachesAttack paralyzed school district computer network, no evidence of data breachRead More";https://www.roanoke.com/news/crime/smyth-county-schools-recover-from-ransomware-attack/article_fd4db2fe-f5c5-51cd-8ca8-36dfd2a6e2a4.html;https://www.scsb.org/;Y;R3;sha256;med;10;2019
"Virginia Wesleyan University, Norfolk City";Education;Virginia;"Unknown, Ransomware";12/13/2019;"WavyDecember 13th, 2019Wesleyan University victim of ransomware cyberattackUniversity outsourced assistance from cybersecurity firmLaw enforcement was notified about affected computer systemsRead More";https://www.wavy.com/news/local-news/virginia-beach/virginia-wesleyan-university-hit-by-ransomware-attack;https://www.vwu.edu/;Y;GlobalSign GCC R3 DV TLS CA 2020;sha256;high;12;2019
